record_type,configuration,feature_window,feature_count,selected_sensors,selected_features,threshold_name,threshold,target_early_end_cycle,target_training_quantile,target_remaining_cycle_horizon,feature_selection_rule,leakage_checks,confusion_matrix,tp,tn,fp,fn,precision,recall,f1,fpr,fnr,pr_auc,roc_auc,training_selection_rank,training_sensor_score,selected_for_candidate
training_sensor_selection,Candidate: 1-50 training-selected sensors,1-50,8,sensor_8,"{""sensor_8_delta"": 0.02289869385555873, ""sensor_8_first"": 0.07287416879922491, ""sensor_8_last"": 0.05759771456817056, ""sensor_8_max"": 0.06388631674904174, ""sensor_8_mean"": 0.016369195729001303, ""sensor_8_min"": 0.005992107599568025, ""sensor_8_slope"": 0.21132317929531227, ""sensor_8_std"": 0.15383805453070634}",,,30,0.2,,Mean absolute training-only feature/target Pearson association; rank ties by sensor number.,training_selection_rank=11; selected=False,,,,,,,,,,,,,11,0.07559742889082299,False
training_sensor_selection,Candidate: 1-50 training-selected sensors,1-50,8,sensor_20,"{""sensor_20_delta"": 0.14435830396403507, ""sensor_20_first"": 0.10644765287901296, ""sensor_20_last"": 0.04911265589858679, ""sensor_20_max"": 0.056405405853153366, ""sensor_20_mean"": 0.05164181088306887, ""sensor_20_min"": 0.053402501645784306, ""sensor_20_slope"": 0.12469129967449259, ""sensor_20_std"": 0.0040414336562908095}",,,30,0.2,,Mean absolute training-only feature/target Pearson association; rank ties by sensor number.,training_selection_rank=12; selected=False,,,,,,,,,,,,,12,0.0737626330568031,False
training_sensor_selection,Candidate: 1-50 training-selected sensors,1-50,8,sensor_14,"{""sensor_14_delta"": 0.07561405569484479, ""sensor_14_first"": 0.059559039163401106, ""sensor_14_last"": 0.01989863632694547, ""sensor_14_max"": 0.07255154109282148, ""sensor_14_mean"": 0.04707341408795663, ""sensor_14_min"": 0.037669800910336594, ""sensor_14_slope"": 0.07317440125679114, ""sensor_14_std"": 0.11915439387555035}",,,30,0.2,,Mean absolute training-only feature/target Pearson association; rank ties by sensor number.,training_selection_rank=13; selected=False,,,,,,,,,,,,,13,0.06308691030108095,False
training_sensor_selection,Candidate: 1-50 training-selected sensors,1-50,8,sensor_3,"{""sensor_3_delta"": 0.020823915685558622, ""sensor_3_first"": 0.1240691499888862, ""sensor_3_last"": 0.14706896588553742, ""sensor_3_max"": 0.0022128014535161803, ""sensor_3_mean"": 0.09798998636824238, ""sensor_3_min"": 0.08124584760343523, ""sensor_3_slope"": 0.025530927537928128, ""sensor_3_std"": 0.005502579941081991}",,,30,0.2,,Mean absolute training-only feature/target Pearson association; rank ties by sensor number.,training_selection_rank=14; selected=False,,,,,,,,,,,,,14,0.06305552180802326,False
training_sensor_selection,Candidate: 1-50 training-selected sensors,1-50,8,sensor_21,"{""sensor_21_delta"": 0.0419438965655236, ""sensor_21_first"": 0.0002181994615283581, ""sensor_21_last"": 0.04547536583298993, ""sensor_21_max"": 0.0759857944107945, ""sensor_21_mean"": 0.025756806089605514, ""sensor_21_min"": 0.04449026375858135, ""sensor_21_slope"": 0.17501072183788416, ""sensor_21_std"": 0.018204519440865354}",,,30,0.2,,Mean absolute training-only feature/target Pearson association; rank ties by sensor number.,training_selection_rank=15; selected=False,,,,,,,,,,,,,15,0.0533856959247216,False
training_sensor_selection,Candidate: 1-50 training-selected sensors,1-50,8,sensor_1,"{""sensor_1_delta"": 0.0, ""sensor_1_first"": 0.0, ""sensor_1_last"": 0.0, ""sensor_1_max"": 0.0, ""sensor_1_mean"": 0.0, ""sensor_1_min"": 0.0, ""sensor_1_slope"": 0.0, ""sensor_1_std"": 0.0}",,,30,0.2,,Mean absolute training-only feature/target Pearson association; rank ties by sensor number.,training_selection_rank=16; selected=False,,,,,,,,,,,,,16,0.0,False
training_sensor_selection,Candidate: 1-50 training-selected sensors,1-50,8,sensor_5,"{""sensor_5_delta"": 0.0, ""sensor_5_first"": 0.0, ""sensor_5_last"": 0.0, ""sensor_5_max"": 0.0, ""sensor_5_mean"": 0.0, ""sensor_5_min"": 0.0, ""sensor_5_slope"": 0.0, ""sensor_5_std"": 0.0}",,,30,0.2,,Mean absolute training-only feature/target Pearson association; rank ties by sensor number.,training_selection_rank=17; selected=False,,,,,,,,,,,,,17,0.0,False
training_sensor_selection,Candidate: 1-50 training-selected sensors,1-50,8,sensor_10,"{""sensor_10_delta"": 0.0, ""sensor_10_first"": 0.0, ""sensor_10_last"": 0.0, ""sensor_10_max"": 0.0, ""sensor_10_mean"": 0.0, ""sensor_10_min"": 0.0, ""sensor_10_slope"": 0.0, ""sensor_10_std"": 0.0}",,,30,0.2,,Mean absolute training-only feature/target Pearson association; rank ties by sensor number.,training_selection_rank=18; selected=False,,,,,,,,,,,,,18,0.0,False
training_sensor_selection,Candidate: 1-50 training-selected sensors,1-50,8,sensor_16,"{""sensor_16_delta"": 0.0, ""sensor_16_first"": 0.0, ""sensor_16_last"": 0.0, ""sensor_16_max"": 0.0, ""sensor_16_mean"": 0.0, ""sensor_16_min"": 0.0, ""sensor_16_slope"": 0.0, ""sensor_16_std"": 0.0}",,,30,0.2,,Mean absolute training-only feature/target Pearson association; rank ties by sensor number.,training_selection_rank=19; selected=False,,,,,,,,,,,,,19,0.0,False
training_sensor_selection,Candidate: 1-50 training-selected sensors,1-50,8,sensor_18,"{""sensor_18_delta"": 0.0, ""sensor_18_first"": 0.0, ""sensor_18_last"": 0.0, ""sensor_18_max"": 0.0, ""sensor_18_mean"": 0.0, ""sensor_18_min"": 0.0, ""sensor_18_slope"": 0.0, ""sensor_18_std"": 0.0}",,,30,0.2,,Mean absolute training-only feature/target Pearson association; rank ties by sensor number.,training_selection_rank=20; selected=False,,,,,,,,,,,,,20,0.0,False
training_sensor_selection,Candidate: 1-50 training-selected sensors,1-50,8,sensor_19,"{""sensor_19_delta"": 0.0, ""sensor_19_first"": 0.0, ""sensor_19_last"": 0.0, ""sensor_19_max"": 0.0, ""sensor_19_mean"": 0.0, ""sensor_19_min"": 0.0, ""sensor_19_slope"": 0.0, ""sensor_19_std"": 0.0}",,,30,0.2,,Mean absolute training-only feature/target Pearson association; rank ties by sensor number.,training_selection_rank=21; selected=False,,,,,,,,,,,,,21,0.0,False
validation,"Baseline: 1-30 all 168 features, existing 50/50 fusion",1-30,168,sensor_1;sensor_2;sensor_3;sensor_4;sensor_5;sensor_6;sensor_7;sensor_8;sensor_9;sensor_10;sensor_11;sensor_12;sensor_13;sensor_14;sensor_15;sensor_16;sensor_17;sensor_18;sensor_19;sensor_20;sensor_21,sensor_1_mean;sensor_1_std;sensor_1_min;sensor_1_max;sensor_1_first;sensor_1_last;sensor_1_delta;sensor_1_slope;sensor_2_mean;sensor_2_std;sensor_2_min;sensor_2_max;sensor_2_first;sensor_2_last;sensor_2_delta;sensor_2_slope;sensor_3_mean;sensor_3_std;sensor_3_min;sensor_3_max;sensor_3_first;sensor_3_last;sensor_3_delta;sensor_3_slope;sensor_4_mean;sensor_4_std;sensor_4_min;sensor_4_max;sensor_4_first;sensor_4_last;sensor_4_delta;sensor_4_slope;sensor_5_mean;sensor_5_std;sensor_5_min;sensor_5_max;sensor_5_first;sensor_5_last;sensor_5_delta;sensor_5_slope;sensor_6_mean;sensor_6_std;sensor_6_min;sensor_6_max;sensor_6_first;sensor_6_last;sensor_6_delta;sensor_6_slope;sensor_7_mean;sensor_7_std;sensor_7_min;sensor_7_max;sensor_7_first;sensor_7_last;sensor_7_delta;sensor_7_slope;sensor_8_mean;sensor_8_std;sensor_8_min;sensor_8_max;sensor_8_first;sensor_8_last;sensor_8_delta;sensor_8_slope;sensor_9_mean;sensor_9_std;sensor_9_min;sensor_9_max;sensor_9_first;sensor_9_last;sensor_9_delta;sensor_9_slope;sensor_10_mean;sensor_10_std;sensor_10_min;sensor_10_max;sensor_10_first;sensor_10_last;sensor_10_delta;sensor_10_slope;sensor_11_mean;sensor_11_std;sensor_11_min;sensor_11_max;sensor_11_first;sensor_11_last;sensor_11_delta;sensor_11_slope;sensor_12_mean;sensor_12_std;sensor_12_min;sensor_12_max;sensor_12_first;sensor_12_last;sensor_12_delta;sensor_12_slope;sensor_13_mean;sensor_13_std;sensor_13_min;sensor_13_max;sensor_13_first;sensor_13_last;sensor_13_delta;sensor_13_slope;sensor_14_mean;sensor_14_std;sensor_14_min;sensor_14_max;sensor_14_first;sensor_14_last;sensor_14_delta;sensor_14_slope;sensor_15_mean;sensor_15_std;sensor_15_min;sensor_15_max;sensor_15_first;sensor_15_last;sensor_15_delta;sensor_15_slope;sensor_16_mean;sensor_16_std;sensor_16_min;sensor_16_max;sensor_16_first;sensor_16_last;sensor_16_delta;sensor_16_slope;sensor_17_mean;sensor_17_std;sensor_17_min;sensor_17_max;sensor_17_first;sensor_17_last;sensor_17_delta;sensor_17_slope;sensor_18_mean;sensor_18_std;sensor_18_min;sensor_18_max;sensor_18_first;sensor_18_last;sensor_18_delta;sensor_18_slope;sensor_19_mean;sensor_19_std;sensor_19_min;sensor_19_max;sensor_19_first;sensor_19_last;sensor_19_delta;sensor_19_slope;sensor_20_mean;sensor_20_std;sensor_20_min;sensor_20_max;sensor_20_first;sensor_20_last;sensor_20_delta;sensor_20_slope;sensor_21_mean;sensor_21_std;sensor_21_min;sensor_21_max;sensor_21_first;sensor_21_last;sensor_21_delta;sensor_21_slope,existing 85th percentile watchlist,0.8071428571428572,30,0.2,135.8,Baseline retains all existing features; no feature selection.,"Target horizon fitted from train only; candidate sensors selected from train only; candidate threshold selected from validation only; no test features, labels, rankings, or contributions accessed before both were frozen; test model inputs used only cycles within each early window; future test trajectories used only post-hoc for truth.","[[10, 3], [1, 1]]",1,10,3,1,0.25,0.5,0.3333333333333333,0.23076923076923078,0.5,0.6111111111111112,0.7307692307692308,,,
validation,"Candidate: 1-50 training-selected sensor features, existing 50/50 fusion",1-50,48,sensor_17;sensor_12;sensor_9;sensor_15;sensor_2;sensor_6,sensor_2_mean;sensor_2_std;sensor_2_min;sensor_2_max;sensor_2_first;sensor_2_last;sensor_2_delta;sensor_2_slope;sensor_6_mean;sensor_6_std;sensor_6_min;sensor_6_max;sensor_6_first;sensor_6_last;sensor_6_delta;sensor_6_slope;sensor_9_mean;sensor_9_std;sensor_9_min;sensor_9_max;sensor_9_first;sensor_9_last;sensor_9_delta;sensor_9_slope;sensor_12_mean;sensor_12_std;sensor_12_min;sensor_12_max;sensor_12_first;sensor_12_last;sensor_12_delta;sensor_12_slope;sensor_15_mean;sensor_15_std;sensor_15_min;sensor_15_max;sensor_15_first;sensor_15_last;sensor_15_delta;sensor_15_slope;sensor_17_mean;sensor_17_std;sensor_17_min;sensor_17_max;sensor_17_first;sensor_17_last;sensor_17_delta;sensor_17_slope,fixed 0.50,0.5,30,0.2,135.8,"Training-only: rank the 21 sensors by mean absolute Pearson association between each sensor's eight existing 1-50 features and the existing training proxy target; select the top six, ties by ascending sensor number.","Target horizon fitted from train only; candidate sensors selected from train only; candidate threshold selected from validation only; no test features, labels, rankings, or contributions accessed before both were frozen; test model inputs used only cycles within each early window; future test trajectories used only post-hoc for truth.","[[6, 7], [0, 2]]",2,6,7,0,0.2222222222222222,1.0,0.3636363636363636,0.5384615384615384,0.0,0.30952380952380953,0.75,,,
final_held_out_test,"Baseline: 1-30 all 168 features, existing 50/50 fusion",1-30,168,sensor_1;sensor_2;sensor_3;sensor_4;sensor_5;sensor_6;sensor_7;sensor_8;sensor_9;sensor_10;sensor_11;sensor_12;sensor_13;sensor_14;sensor_15;sensor_16;sensor_17;sensor_18;sensor_19;sensor_20;sensor_21,sensor_1_mean;sensor_1_std;sensor_1_min;sensor_1_max;sensor_1_first;sensor_1_last;sensor_1_delta;sensor_1_slope;sensor_2_mean;sensor_2_std;sensor_2_min;sensor_2_max;sensor_2_first;sensor_2_last;sensor_2_delta;sensor_2_slope;sensor_3_mean;sensor_3_std;sensor_3_min;sensor_3_max;sensor_3_first;sensor_3_last;sensor_3_delta;sensor_3_slope;sensor_4_mean;sensor_4_std;sensor_4_min;sensor_4_max;sensor_4_first;sensor_4_last;sensor_4_delta;sensor_4_slope;sensor_5_mean;sensor_5_std;sensor_5_min;sensor_5_max;sensor_5_first;sensor_5_last;sensor_5_delta;sensor_5_slope;sensor_6_mean;sensor_6_std;sensor_6_min;sensor_6_max;sensor_6_first;sensor_6_last;sensor_6_delta;sensor_6_slope;sensor_7_mean;sensor_7_std;sensor_7_min;sensor_7_max;sensor_7_first;sensor_7_last;sensor_7_delta;sensor_7_slope;sensor_8_mean;sensor_8_std;sensor_8_min;sensor_8_max;sensor_8_first;sensor_8_last;sensor_8_delta;sensor_8_slope;sensor_9_mean;sensor_9_std;sensor_9_min;sensor_9_max;sensor_9_first;sensor_9_last;sensor_9_delta;sensor_9_slope;sensor_10_mean;sensor_10_std;sensor_10_min;sensor_10_max;sensor_10_first;sensor_10_last;sensor_10_delta;sensor_10_slope;sensor_11_mean;sensor_11_std;sensor_11_min;sensor_11_max;sensor_11_first;sensor_11_last;sensor_11_delta;sensor_11_slope;sensor_12_mean;sensor_12_std;sensor_12_min;sensor_12_max;sensor_12_first;sensor_12_last;sensor_12_delta;sensor_12_slope;sensor_13_mean;sensor_13_std;sensor_13_min;sensor_13_max;sensor_13_first;sensor_13_last;sensor_13_delta;sensor_13_slope;sensor_14_mean;sensor_14_std;sensor_14_min;sensor_14_max;sensor_14_first;sensor_14_last;sensor_14_delta;sensor_14_slope;sensor_15_mean;sensor_15_std;sensor_15_min;sensor_15_max;sensor_15_first;sensor_15_last;sensor_15_delta;sensor_15_slope;sensor_16_mean;sensor_16_std;sensor_16_min;sensor_16_max;sensor_16_first;sensor_16_last;sensor_16_delta;sensor_16_slope;sensor_17_mean;sensor_17_std;sensor_17_min;sensor_17_max;sensor_17_first;sensor_17_last;sensor_17_delta;sensor_17_slope;sensor_18_mean;sensor_18_std;sensor_18_min;sensor_18_max;sensor_18_first;sensor_18_last;sensor_18_delta;sensor_18_slope;sensor_19_mean;sensor_19_std;sensor_19_min;sensor_19_max;sensor_19_first;sensor_19_last;sensor_19_delta;sensor_19_slope;sensor_20_mean;sensor_20_std;sensor_20_min;sensor_20_max;sensor_20_first;sensor_20_last;sensor_20_delta;sensor_20_slope;sensor_21_mean;sensor_21_std;sensor_21_min;sensor_21_max;sensor_21_first;sensor_21_last;sensor_21_delta;sensor_21_slope,existing 85th percentile watchlist,0.8071428571428572,30,0.2,135.8,Baseline retains all existing features; no feature selection.,"Target horizon fitted from train only; candidate sensors selected from train only; candidate threshold selected from validation only; no test features, labels, rankings, or contributions accessed before both were frozen; test model inputs used only cycles within each early window; future test trajectories used only post-hoc for truth.","[[9, 3], [3, 0]]",0,9,3,3,0.0,0.0,,0.25,1.0,0.2102564102564103,0.2777777777777778,,,
final_held_out_test,"Candidate: 1-50 training-selected sensor features, existing 50/50 fusion",1-50,48,sensor_17;sensor_12;sensor_9;sensor_15;sensor_2;sensor_6,sensor_2_mean;sensor_2_std;sensor_2_min;sensor_2_max;sensor_2_first;sensor_2_last;sensor_2_delta;sensor_2_slope;sensor_6_mean;sensor_6_std;sensor_6_min;sensor_6_max;sensor_6_first;sensor_6_last;sensor_6_delta;sensor_6_slope;sensor_9_mean;sensor_9_std;sensor_9_min;sensor_9_max;sensor_9_first;sensor_9_last;sensor_9_delta;sensor_9_slope;sensor_12_mean;sensor_12_std;sensor_12_min;sensor_12_max;sensor_12_first;sensor_12_last;sensor_12_delta;sensor_12_slope;sensor_15_mean;sensor_15_std;sensor_15_min;sensor_15_max;sensor_15_first;sensor_15_last;sensor_15_delta;sensor_15_slope;sensor_17_mean;sensor_17_std;sensor_17_min;sensor_17_max;sensor_17_first;sensor_17_last;sensor_17_delta;sensor_17_slope,fixed 0.50,0.5,30,0.2,135.8,"Training-only: rank the 21 sensors by mean absolute Pearson association between each sensor's eight existing 1-50 features and the existing training proxy target; select the top six, ties by ascending sensor number.","Target horizon fitted from train only; candidate sensors selected from train only; candidate threshold selected from validation only; no test features, labels, rankings, or contributions accessed before both were frozen; test model inputs used only cycles within each early window; future test trajectories used only post-hoc for truth.","[[5, 7], [3, 0]]",0,5,7,3,0.0,0.0,,0.5833333333333334,1.0,0.19551282051282054,0.24999999999999994,,,
