alert_constraint_fallback,alert_count,dataset,engine_count,f1,fn,fnr,fp,fpr,high_risk_count,high_risk_threshold,isolation_weight,normal_count,pr_auc,precision,recall,roc_auc,scope,selected,tn,tp,watchlist_count,watchlist_threshold,z_weight
,6,FD002,39,0.14285714285714288,7,0.875,5,0.16129032258064516,3,0.9505494505494505,0.0,33,0.1791291605275444,0.16666666666666666,0.125,0.3286290322580645,VALIDATION,,26,1,3,0.9098901098901099,1.0
,4,FD003,15,0.2,5,0.8333333333333334,3,0.3333333333333333,1,0.9042857142857142,1.0,11,0.34393939393939393,0.25,0.16666666666666666,0.3333333333333333,VALIDATION,,6,1,3,0.8428571428571429,0.0
,3,FD003,15,,6,1.0,3,0.3333333333333333,1,0.903,0.9,12,0.34393939393939393,0.0,0.0,0.32407407407407407,VALIDATION,,6,0,2,0.8338571428571429,0.1
,3,FD003,15,,6,1.0,3,0.3333333333333333,1,0.9017142857142857,0.8,12,0.34393939393939393,0.0,0.0,0.32407407407407407,VALIDATION,,6,0,2,0.824857142857143,0.2
,3,FD003,15,,6,1.0,3,0.3333333333333333,1,0.9004285714285714,0.7,12,0.34393939393939393,0.0,0.0,0.32407407407407407,VALIDATION,,6,0,2,0.8158571428571428,0.3
,3,FD003,15,,6,1.0,3,0.3333333333333333,1,0.8991428571428571,0.6,12,0.34393939393939393,0.0,0.0,0.32407407407407407,VALIDATION,,6,0,2,0.8068571428571428,0.4
,3,FD003,15,,6,1.0,3,0.3333333333333333,1,0.8978571428571428,0.5,12,0.35454545454545455,0.0,0.0,0.32407407407407407,VALIDATION,,6,0,2,0.7978571428571429,0.5
,3,FD003,15,,6,1.0,3,0.3333333333333333,1,0.8965714285714286,0.4,12,0.34393939393939393,0.0,0.0,0.32407407407407407,VALIDATION,,6,0,2,0.7888571428571428,0.6
,3,FD003,15,,6,1.0,3,0.3333333333333333,1,0.8952857142857142,0.30000000000000004,12,0.336002886002886,0.0,0.0,0.3055555555555556,VALIDATION,,6,0,2,0.7798571428571428,0.7
,3,FD003,15,,6,1.0,3,0.3333333333333333,1,0.8939999999999999,0.19999999999999996,12,0.35873015873015873,0.0,0.0,0.34259259259259256,VALIDATION,,6,0,2,0.7708571428571428,0.8
,3,FD003,15,,6,1.0,3,0.3333333333333333,1,0.8927142857142856,0.09999999999999998,12,0.347979797979798,0.0,0.0,0.3425925925925926,VALIDATION,,6,0,2,0.7618571428571429,0.9
,3,FD003,15,,6,1.0,3,0.3333333333333333,1,0.8914285714285712,0.0,12,0.3779040404040404,0.0,0.0,0.41666666666666674,VALIDATION,,6,0,2,0.7528571428571429,1.0
