alert_count,alert_rate,dataset,evaluated_count,f1,fn,fnr,fp,fpr,fusion_if_weight,fusion_z_weight,negative_count,positive_count,pr_auc,precision,recall,roc_auc,scope,selection_status,target_early_end_cycle,target_training_quantile,threshold,threshold_source,tn,tp,training_derived_remaining_cycle_horizon
6,0.15384615384615385,FD002,39,,8,1.0,6,0.1935483870967742,0.5,0.5,,,0.16146559316364217,0.0,0.0,0.3064516129032258,VALIDATION_BASELINE_50_50,not_selected,30,0.2,0.9082417582417582,existing_validation_85th_percentile,25,0,138.0
6,0.15384615384615385,FD002,39,0.14285714285714288,7,0.875,5,0.16129032258064516,1.0,0.0,,,0.17455375887361183,0.16666666666666666,0.125,0.3629032258064516,VALIDATION_BEST_FUSION_85TH_PERCENTILE,not_selected,30,0.2,0.939010989010989,best_fusion_validation_85th_percentile,26,1,138.0
39,1.0,FD002,39,0.3404255319148936,0,0.0,31,1.0,1.0,0.0,,,0.17455375887361183,0.20512820512820512,1.0,0.3629032258064516,VALIDATION_THRESHOLD_SWEEP,not_selected,30,0.2,0.04945054945054945,validation_fine_grid+validation_observed_score,0,8,138.0
38,0.9743589743589743,FD002,39,0.34782608695652173,0,0.0,30,0.967741935483871,1.0,0.0,,,0.17455375887361183,0.21052631578947367,1.0,0.3629032258064516,VALIDATION_THRESHOLD_SWEEP,not_selected,30,0.2,0.05414835164835165,validation_fine_grid,1,8,138.0
38,0.9743589743589743,FD002,39,0.34782608695652173,0,0.0,30,0.967741935483871,1.0,0.0,,,0.17455375887361183,0.21052631578947367,1.0,0.3629032258064516,VALIDATION_THRESHOLD_SWEEP,not_selected,30,0.2,0.05884615384615384,validation_fine_grid,1,8,138.0
38,0.9743589743589743,FD002,39,0.34782608695652173,0,0.0,30,0.967741935483871,1.0,0.0,,,0.17455375887361183,0.21052631578947367,1.0,0.3629032258064516,VALIDATION_THRESHOLD_SWEEP,not_selected,30,0.2,0.06354395604395605,validation_fine_grid,1,8,138.0
38,0.9743589743589743,FD002,39,0.34782608695652173,0,0.0,30,0.967741935483871,1.0,0.0,,,0.17455375887361183,0.21052631578947367,1.0,0.3629032258064516,VALIDATION_THRESHOLD_SWEEP,not_selected,30,0.2,0.06593406593406594,validation_observed_score,1,8,138.0
37,0.9487179487179487,FD002,39,0.35555555555555557,0,0.0,29,0.9354838709677419,1.0,0.0,,,0.17455375887361183,0.21621621621621623,1.0,0.3629032258064516,VALIDATION_THRESHOLD_SWEEP,not_selected,30,0.2,0.06824175824175824,validation_fine_grid,2,8,138.0
37,0.9487179487179487,FD002,39,0.35555555555555557,0,0.0,29,0.9354838709677419,1.0,0.0,,,0.17455375887361183,0.21621621621621623,1.0,0.3629032258064516,VALIDATION_THRESHOLD_SWEEP,not_selected,30,0.2,0.07293956043956043,validation_fine_grid,2,8,138.0
37,0.9487179487179487,FD002,39,0.35555555555555557,0,0.0,29,0.9354838709677419,1.0,0.0,,,0.17455375887361183,0.21621621621621623,1.0,0.3629032258064516,VALIDATION_THRESHOLD_SWEEP,not_selected,30,0.2,0.07763736263736264,validation_fine_grid,2,8,138.0
37,0.9487179487179487,FD002,39,0.35555555555555557,0,0.0,29,0.9354838709677419,1.0,0.0,,,0.17455375887361183,0.21621621621621623,1.0,0.3629032258064516,VALIDATION_THRESHOLD_SWEEP,not_selected,30,0.2,0.08233516483516483,validation_fine_grid,2,8,138.0
37,0.9487179487179487,FD002,39,0.35555555555555557,0,0.0,29,0.9354838709677419,1.0,0.0,,,0.17455375887361183,0.21621621621621623,1.0,0.3629032258064516,VALIDATION_THRESHOLD_SWEEP,not_selected,30,0.2,0.08703296703296703,validation_fine_grid,2,8,138.0
37,0.9487179487179487,FD002,39,0.35555555555555557,0,0.0,29,0.9354838709677419,1.0,0.0,,,0.17455375887361183,0.21621621621621623,1.0,0.3629032258064516,VALIDATION_THRESHOLD_SWEEP,not_selected,30,0.2,0.09173076923076923,validation_fine_grid,2,8,138.0
37,0.9487179487179487,FD002,39,0.35555555555555557,0,0.0,29,0.9354838709677419,1.0,0.0,,,0.17455375887361183,0.21621621621621623,1.0,0.3629032258064516,VALIDATION_THRESHOLD_SWEEP,not_selected,30,0.2,0.09642857142857142,validation_fine_grid,2,8,138.0
37,0.9487179487179487,FD002,39,0.35555555555555557,0,0.0,29,0.9354838709677419,1.0,0.0,,,0.17455375887361183,0.21621621621621623,1.0,0.3629032258064516,VALIDATION_THRESHOLD_SWEEP,not_selected,30,0.2,0.10112637362637361,validation_fine_grid,2,8,138.0
37,0.9487179487179487,FD002,39,0.35555555555555557,0,0.0,29,0.9354838709677419,1.0,0.0,,,0.17455375887361183,0.21621621621621623,1.0,0.3629032258064516,VALIDATION_THRESHOLD_SWEEP,not_selected,30,0.2,0.10582417582417582,validation_fine_grid,2,8,138.0
37,0.9487179487179487,FD002,39,0.35555555555555557,0,0.0,29,0.9354838709677419,1.0,0.0,,,0.17455375887361183,0.21621621621621623,1.0,0.3629032258064516,VALIDATION_THRESHOLD_SWEEP,not_selected,30,0.2,0.10989010989010989,validation_observed_score,2,8,138.0
