dataset,model,validation_metrics,watchlist_threshold,high_risk_threshold,horizon,tp,tn,fp,fn,precision,recall,f1,fpr,fnr,pr_auc,roc_auc,evaluated_engines,positives,negatives,normal_count,watchlist_count,high_risk_count,risk_score_distribution,z_score_distribution,isolation_score_distribution,decision
FD002,FD001 production baseline,,0.8071428571428572,0.8857142857142857,138.0,43,0,210,0,0.16996047430830039,1.0,0.29054054054054057,1.0,0.0,0.16996047430830039,0.5,253,43,210,0,0,253,"{""min"": 1.0, ""median"": 1.0, ""mean"": 1.0, ""max"": 1.0}","{""min"": 16624.396956962388, ""median"": 36069.19480766029, ""mean"": 35913.050887047844, ""max"": 49390.2820868971}","{""min"": 0.5959571817914919, ""median"": 0.6796406283293758, ""mean"": 0.6784458909708957, ""max"": 0.7117364451625445}",KEEP EXPERIMENTAL
FD002,dataset-specific experimental,"{""tp"": 0, ""tn"": 25, ""fp"": 6, ""fn"": 8, ""precision"": 0.0, ""recall"": 0.0, ""f1"": null, ""fpr"": 0.1935483870967742, ""fnr"": 1.0, ""pr_auc"": 0.16146559316364217, ""roc_auc"": 0.3064516129032258}",0.9082417582417582,0.9412087912087912,138.0,3,199,11,40,0.21428571428571427,0.06976744186046512,0.10526315789473685,0.05238095238095238,0.9302325581395349,0.19978156642426181,0.5095238095238096,253,43,210,239,8,6,"{""min"": 0.013736263736263738, ""median"": 0.5521978021978022, ""mean"": 0.5414042479259872, ""max"": 0.9972527472527473}","{""min"": 1.2165137128450982, ""median"": 2.1465787573238333, ""mean"": 2.3707679240330717, ""max"": 13.453624047073712}","{""min"": 0.38853054463171277, ""median"": 0.4653591411872146, ""mean"": 0.4633420243881674, ""max"": 0.58738958453545}",KEEP EXPERIMENTAL
FD003,FD001 production baseline,,0.8071428571428572,0.8857142857142857,156.6,7,32,47,14,0.12962962962962962,0.3333333333333333,0.18666666666666668,0.5949367088607594,0.6666666666666666,0.1635037287707924,0.36106088004822184,100,21,79,46,4,50,"{""min"": 0.02857142857142857, ""median"": 0.9, ""mean"": 0.7425, ""max"": 1.0}","{""min"": 1.7254883771057878, ""median"": 3.61073414587717, ""mean"": 18.251884402382487, ""max"": 67.22337684674719}","{""min"": 0.42788674971053886, ""median"": 0.4959614187689685, ""mean"": 0.5048004145103988, ""max"": 0.6313516558302905}",KEEP EXPERIMENTAL
FD003,dataset-specific experimental,"{""tp"": 0, ""tn"": 6, ""fp"": 3, ""fn"": 6, ""precision"": 0.0, ""recall"": 0.0, ""f1"": null, ""fpr"": 0.3333333333333333, ""fnr"": 1.0, ""pr_auc"": 0.35454545454545455, ""roc_auc"": 0.32407407407407407}",0.7978571428571429,0.8978571428571428,156.6,1,63,16,20,0.058823529411764705,0.047619047619047616,0.05263157894736842,0.20253164556962025,0.9523809523809523,0.1942082896124534,0.45328511151295964,100,21,79,83,5,12,"{""min"": 0.02857142857142857, ""median"": 0.5642857142857143, ""mean"": 0.5395, ""max"": 0.9857142857142858}","{""min"": 1.549026151740686, ""median"": 2.4319826069830115, ""mean"": 2.85344473271795, ""max"": 9.438387578564479}","{""min"": 0.40179020161829954, ""median"": 0.4397621503515129, ""mean"": 0.4559192996247357, ""max"": 0.611285673678474}",KEEP EXPERIMENTAL
FD004,FD001 production baseline,,0.8071428571428572,0.8857142857142857,154.0,50,0,187,0,0.2109704641350211,1.0,0.3484320557491289,1.0,0.0,0.2109704641350211,0.5,237,50,187,0,0,237,"{""min"": 1.0, ""median"": 1.0, ""mean"": 1.0, ""max"": 1.0}","{""min"": 17515.107745532867, ""median"": 36355.17498396146, ""mean"": 35753.89873544356, ""max"": 49391.8828568043}","{""min"": 0.6048165529489251, ""median"": 0.6805031447989471, ""mean"": 0.6798569768763046, ""max"": 0.7087742371996748}",KEEP EXPERIMENTAL
FD004,dataset-specific experimental,"{""tp"": 2, ""tn"": 24, ""fp"": 4, ""fn"": 7, ""precision"": 0.3333333333333333, ""recall"": 0.2222222222222222, ""f1"": 0.26666666666666666, ""fpr"": 0.14285714285714285, ""fnr"": 0.7777777777777778, ""pr_auc"": 0.3469487339390004, ""roc_auc"": 0.5773809523809523}",0.8034482758620689,0.8373563218390805,154.0,13,153,34,37,0.2765957446808511,0.26,0.268041237113402,0.18181818181818182,0.74,0.22579592877058588,0.46438502673796794,237,50,187,190,9,38,"{""min"": 0.0, ""median"": 0.5977011494252873, ""mean"": 0.541490857946554, ""max"": 0.9971264367816092}","{""min"": 1.1753793101496257, ""median"": 2.283507101279406, ""mean"": 21.829641774229405, ""max"": 3467.0934268938163}","{""min"": 0.3947335395882011, ""median"": 0.47974901062897546, ""mean"": 0.47828022860257297, ""max"": 0.5849067104351952}",KEEP EXPERIMENTAL
