evaluation_split,model,watchlist_threshold,high_risk_threshold,tp,tn,fp,fn,precision,recall,f1,fpr,fnr,pr_auc,roc_auc,normal_count,watchlist_count,high_risk_count,alert_rate_defensible
VALIDATION,threshold_candidate,0.7,0.75,1,10,3,1,0.25,0.5,0.3333333333333333,0.23076923076923078,0.5,0.6111111111111112,0.7307692307692308,11,0,4,True
VALIDATION,threshold_candidate,0.7,0.8,1,10,3,1,0.25,0.5,0.3333333333333333,0.23076923076923078,0.5,0.6111111111111112,0.7307692307692308,11,0,4,True
VALIDATION,threshold_candidate,0.7,0.85,1,10,3,1,0.25,0.5,0.3333333333333333,0.23076923076923078,0.5,0.6111111111111112,0.7307692307692308,11,2,2,True
VALIDATION,threshold_candidate,0.7,0.9,1,10,3,1,0.25,0.5,0.3333333333333333,0.23076923076923078,0.5,0.6111111111111112,0.7307692307692308,11,3,1,True
VALIDATION,threshold_candidate,0.7,0.95,1,10,3,1,0.25,0.5,0.3333333333333333,0.23076923076923078,0.5,0.6111111111111112,0.7307692307692308,11,4,0,True
VALIDATION,threshold_candidate,0.75,0.8,1,10,3,1,0.25,0.5,0.3333333333333333,0.23076923076923078,0.5,0.6111111111111112,0.7307692307692308,11,0,4,True
VALIDATION,threshold_candidate,0.75,0.85,1,10,3,1,0.25,0.5,0.3333333333333333,0.23076923076923078,0.5,0.6111111111111112,0.7307692307692308,11,2,2,True
VALIDATION,threshold_candidate,0.75,0.9,1,10,3,1,0.25,0.5,0.3333333333333333,0.23076923076923078,0.5,0.6111111111111112,0.7307692307692308,11,3,1,True
VALIDATION,threshold_candidate,0.75,0.95,1,10,3,1,0.25,0.5,0.3333333333333333,0.23076923076923078,0.5,0.6111111111111112,0.7307692307692308,11,4,0,True
VALIDATION,threshold_candidate,0.8,0.85,1,10,3,1,0.25,0.5,0.3333333333333333,0.23076923076923078,0.5,0.6111111111111112,0.7307692307692308,11,2,2,True
VALIDATION,threshold_candidate,0.8,0.9,1,10,3,1,0.25,0.5,0.3333333333333333,0.23076923076923078,0.5,0.6111111111111112,0.7307692307692308,11,3,1,True
VALIDATION,threshold_candidate,0.8,0.95,1,10,3,1,0.25,0.5,0.3333333333333333,0.23076923076923078,0.5,0.6111111111111112,0.7307692307692308,11,4,0,True
VALIDATION,threshold_candidate,0.85,0.9,1,12,1,1,0.5,0.5,0.5,0.07692307692307693,0.5,0.6111111111111112,0.7307692307692308,13,1,1,True
VALIDATION,threshold_candidate,0.85,0.95,1,12,1,1,0.5,0.5,0.5,0.07692307692307693,0.5,0.6111111111111112,0.7307692307692308,13,2,0,True
VALIDATION,threshold_candidate,0.9,0.95,1,13,0,1,1.0,0.5,0.6666666666666666,0.0,0.5,0.6111111111111112,0.7307692307692308,14,1,0,True
