scope,window,detector,threshold_name,threshold,target_remaining_cycle_horizon,positive_count,selected_from_validation,tp,tn,fp,fn,precision,recall,f1,fpr,fnr,pr_auc,roc_auc
validation,1-75,Z-score only,fixed 0.95,0.95,90.8,2,False,0,12,1,2,0.0,0.0,,0.07692307692307693,1.0,0.2361111111111111,0.6538461538461539
validation,1-75,Isolation Forest only,current 85th percentile watchlist,0.6757142857142857,90.8,2,False,1,11,2,1,0.3333333333333333,0.5,0.4,0.15384615384615385,0.5,0.7,0.9038461538461539
validation,1-75,Isolation Forest only,current 95th percentile high-risk,0.8099999999999997,90.8,2,False,1,13,0,1,1.0,0.5,0.6666666666666666,0.0,0.5,0.7,0.9038461538461539
validation,1-75,Isolation Forest only,fixed 0.50,0.5,90.8,2,False,2,9,4,0,0.3333333333333333,1.0,0.5,0.3076923076923077,0.0,0.7,0.9038461538461539
validation,1-75,Isolation Forest only,fixed 0.60,0.6,90.8,2,False,1,11,2,1,0.3333333333333333,0.5,0.4,0.15384615384615385,0.5,0.7,0.9038461538461539
validation,1-75,Isolation Forest only,fixed 0.65,0.65,90.8,2,False,1,11,2,1,0.3333333333333333,0.5,0.4,0.15384615384615385,0.5,0.7,0.9038461538461539
validation,1-75,Isolation Forest only,fixed 0.70,0.7,90.8,2,False,1,12,1,1,0.5,0.5,0.5,0.07692307692307693,0.5,0.7,0.9038461538461539
validation,1-75,Isolation Forest only,fixed 0.75,0.75,90.8,2,False,1,13,0,1,1.0,0.5,0.6666666666666666,0.0,0.5,0.7,0.9038461538461539
validation,1-75,Isolation Forest only,fixed 0.80,0.8,90.8,2,False,1,13,0,1,1.0,0.5,0.6666666666666666,0.0,0.5,0.7,0.9038461538461539
validation,1-75,Isolation Forest only,fixed 0.85,0.85,90.8,2,False,1,13,0,1,1.0,0.5,0.6666666666666666,0.0,0.5,0.7,0.9038461538461539
validation,1-75,Isolation Forest only,fixed 0.90,0.9,90.8,2,False,1,13,0,1,1.0,0.5,0.6666666666666666,0.0,0.5,0.7,0.9038461538461539
validation,1-75,Isolation Forest only,fixed 0.95,0.95,90.8,2,False,1,13,0,1,1.0,0.5,0.6666666666666666,0.0,0.5,0.7,0.9038461538461539
validation,1-75,50/50 fusion,current 85th percentile watchlist,0.7414285714285714,90.8,2,False,1,11,2,1,0.3333333333333333,0.5,0.4,0.15384615384615385,0.5,0.6666666666666666,0.8461538461538461
validation,1-75,50/50 fusion,current 95th percentile high-risk,0.862142857142857,90.8,2,False,1,13,0,1,1.0,0.5,0.6666666666666666,0.0,0.5,0.6666666666666666,0.8461538461538461
validation,1-75,50/50 fusion,fixed 0.50,0.5,90.8,2,False,2,8,5,0,0.2857142857142857,1.0,0.4444444444444445,0.38461538461538464,0.0,0.6666666666666666,0.8461538461538461
validation,1-75,50/50 fusion,fixed 0.60,0.6,90.8,2,False,1,10,3,1,0.25,0.5,0.3333333333333333,0.23076923076923078,0.5,0.6666666666666666,0.8461538461538461
validation,1-75,50/50 fusion,fixed 0.65,0.65,90.8,2,False,1,10,3,1,0.25,0.5,0.3333333333333333,0.23076923076923078,0.5,0.6666666666666666,0.8461538461538461
validation,1-75,50/50 fusion,fixed 0.70,0.7,90.8,2,False,1,11,2,1,0.3333333333333333,0.5,0.4,0.15384615384615385,0.5,0.6666666666666666,0.8461538461538461
validation,1-75,50/50 fusion,fixed 0.75,0.75,90.8,2,False,1,11,2,1,0.3333333333333333,0.5,0.4,0.15384615384615385,0.5,0.6666666666666666,0.8461538461538461
validation,1-75,50/50 fusion,fixed 0.80,0.8,90.8,2,False,1,12,1,1,0.5,0.5,0.5,0.07692307692307693,0.5,0.6666666666666666,0.8461538461538461
validation,1-75,50/50 fusion,fixed 0.85,0.85,90.8,2,False,1,13,0,1,1.0,0.5,0.6666666666666666,0.0,0.5,0.6666666666666666,0.8461538461538461
validation,1-75,50/50 fusion,fixed 0.90,0.9,90.8,2,False,1,13,0,1,1.0,0.5,0.6666666666666666,0.0,0.5,0.6666666666666666,0.8461538461538461
validation,1-75,50/50 fusion,fixed 0.95,0.95,90.8,2,False,1,13,0,1,1.0,0.5,0.6666666666666666,0.0,0.5,0.6666666666666666,0.8461538461538461
locked_test,1-50,Isolation Forest only,locked validation selection: fixed 0.65,0.65,115.8,3,True,0,10,2,3,0.0,0.0,,0.16666666666666666,1.0,0.15555555555555556,0.13888888888888887
