scope,configuration,early_window,feature_count,detector,threshold_name,threshold,real_training_count,synthetic_training_count,target_early_end_cycle,target_training_quantile,target_remaining_cycle_horizon,confusion_matrix,leakage_checks,tp,tn,fp,fn,precision,recall,f1,fpr,fnr,pr_auc,roc_auc
validation,Baseline: real training only,1-30,168,existing 50/50 Z-score + Isolation Forest,existing 85th percentile watchlist,0.8071428571428572,70,0,30,0.2,135.8,"[[10, 3], [1, 1]]",GaussianCopula fit and sample source: real 70-engine training features only; synthetic IDs are new negative IDs; validation and test are real only; no validation/test data or labels are passed to SDV; test data is first accessed after both models are fit; test feature inputs contain only cycles 1-30; future test trajectories are used only for truth.,1,10,3,1,0.25,0.5,0.3333333333333333,0.23076923076923078,0.5,0.6111111111111112,0.7307692307692308
validation,Augmented candidate: real + SDV GaussianCopula training,1-30,168,existing 50/50 Z-score + Isolation Forest,existing 85th percentile watchlist,0.8971428571428571,70,70,30,0.2,135.8,"[[11, 2], [1, 1]]",GaussianCopula fit and sample source: real 70-engine training features only; synthetic IDs are new negative IDs; validation and test are real only; no validation/test data or labels are passed to SDV; test data is first accessed after both models are fit; test feature inputs contain only cycles 1-30; future test trajectories are used only for truth.,1,11,2,1,0.3333333333333333,0.5,0.4,0.15384615384615385,0.5,0.7,0.8846153846153846
final_held_out_test,Baseline: real training only,1-30,168,existing 50/50 Z-score + Isolation Forest,existing 85th percentile watchlist,0.8071428571428572,70,0,30,0.2,135.8,"[[9, 3], [3, 0]]",GaussianCopula fit and sample source: real 70-engine training features only; synthetic IDs are new negative IDs; validation and test are real only; no validation/test data or labels are passed to SDV; test data is first accessed after both models are fit; test feature inputs contain only cycles 1-30; future test trajectories are used only for truth.,0,9,3,3,0.0,0.0,,0.25,1.0,0.2102564102564103,0.2777777777777778
final_held_out_test,Augmented candidate: real + SDV GaussianCopula training,1-30,168,existing 50/50 Z-score + Isolation Forest,existing 85th percentile watchlist,0.8971428571428571,70,70,30,0.2,135.8,"[[10, 2], [3, 0]]",GaussianCopula fit and sample source: real 70-engine training features only; synthetic IDs are new negative IDs; validation and test are real only; no validation/test data or labels are passed to SDV; test data is first accessed after both models are fit; test feature inputs contain only cycles 1-30; future test trajectories are used only for truth.,0,10,2,3,0.0,0.0,,0.16666666666666666,1.0,0.2078754578754579,0.38888888888888884
